AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact,Procrastination_num,StudyDelay_num,CourseworkDistraction_num,Procrastination_Index,ImpactOrder
25–34,Female ,Less than 1 hour ,Rarely ,Slightly ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Often ,Sometimes ,Often,Sometimes ,Often ,Slightly ,instagram,Often ,Slightly ,4,6,5,5.0,2
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Moderately,Moderately ,Sometimes ,Often ,Often ,Sometimes,Often ,Often ,Moderately ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Male ,Less than 1 hour ,Always ,Significantly ,Always,Often ,Significantly,Moderately ,Often ,Always ,Always ,Often,Often ,Always ,Slightly ,facebook,Always ,Significantly ,8,6,7,7.0,4
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Significantly,Moderately ,Sometimes ,Often ,Often ,Always,Often ,Often ,Significantly ,youtube,Sometimes ,Moderately ,6,8,7,7.0,3
Below 18,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes,Often ,Not at all,Significantly ,Rarely ,Sometimes ,Often ,Always,Always ,Rarely ,Slightly ,tiktok,Sometimes ,Significantly ,4,8,1,4.333333333333333,4
18–24,Male ,1–3 hours ,Often ,Slightly ,Often,Often ,Slightly,Significantly ,Often ,Sometimes ,Often ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Often ,Slightly ,6,4,3,4.333333333333333,2
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Always ,Always ,Always,Often ,Often ,Moderately ,facebook,Sometimes ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Often ,Often ,Always,Often ,Sometimes ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
Below 18,Male ,More than 3 hours ,Always ,Moderately ,Always,Always ,Moderately,Significantly ,Sometimes ,Sometimes ,Always ,Always,Sometimes ,Often ,Moderately ,instagram,Always ,Slightly ,8,8,5,7.0,2
18–24,Male ,1–3 hours ,Often ,Slightly ,Often,Often ,Slightly,Significantly ,Often ,Sometimes ,Often ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Often ,Slightly ,6,4,3,4.333333333333333,2
18–24,Female ,More than 3 hours ,Often ,Significantly ,Always,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Often ,Significantly ,facebook,Sometimes ,Moderately ,8,6,5,6.333333333333333,3
Below 18,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Always ,Moderately ,facebook,Always ,Significantly ,4,8,7,6.333333333333333,4
Below 18,Male ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Moderately,Not at all ,Rarely ,Rarely ,Rarely ,Sometimes,Often ,Sometimes ,Not at all ,snapchat,Rarely ,Moderately ,2,4,5,3.6666666666666665,3
25–34,Male ,More than 3 hours ,Always ,Significantly ,Often,Always ,Significantly,Significantly ,Often ,Often ,Often ,Always,Often ,Always ,Significantly ,facebook,Often ,Significantly ,6,8,7,7.0,4
25–34,Female ,More than 3 hours ,Often ,Slightly ,Sometimes,Always ,Moderately,Significantly ,Often ,Often ,Always ,Often,Often ,Always ,Moderately ,twitter,Always ,Moderately ,4,6,5,5.0,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Sometimes ,Slightly,Moderately ,Always ,Often ,Often ,Often,Often ,Rarely ,Moderately ,facebook,Rarely ,Moderately ,6,6,3,5.0,3
18–24,Male ,1–3 hours ,Always ,Moderately ,Often,Always ,Significantly,Moderately ,Always ,Often ,Always ,Always,Always ,Always ,Moderately ,facebook,Often ,Moderately ,6,8,7,7.0,3
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Rarely,Sometimes ,Slightly,Not at all ,Rarely ,Sometimes ,Rarely ,Rarely,Sometimes ,Rarely ,Moderately ,facebook,Often ,Slightly ,2,2,3,2.3333333333333335,2
18–24,Male ,1–3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Moderately ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
